                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,               0.025476,               0.025891,              0.0083794,                      0,                0.81679,                 0.7154,                0.79877,                0.54412,                0.82886,                0.73326,                0.80697,                0.48991,               0.023372,               0.020974,               0.006505,                      0,              0.0008317,              0.0008317,              0.0008317
                     53,               0.025519,               0.025794,              0.0083674,                      0,                0.81653,                0.73645,                0.80521,                0.53337,                0.82713,                0.74601,                0.81141,                0.48866,               0.024096,               0.021188,              0.0066054,                      0,              0.0008284,              0.0008284,              0.0008284
                     54,                0.02506,               0.026267,              0.0083925,                      0,                0.82354,                0.71945,                0.79934,                0.54139,                0.84066,                0.72051,                0.80482,                0.48733,               0.023071,                0.02104,              0.0066968,                      0,              0.0008251,              0.0008251,              0.0008251
                     55,               0.025099,               0.026007,              0.0083842,                      0,                0.79348,                0.73645,                0.80172,                0.54033,                0.81696,                0.75239,                0.81041,                0.49025,               0.023678,               0.020655,              0.0065879,                      0,              0.0008218,              0.0008218,              0.0008218
                     56,               0.024917,               0.025737,              0.0083548,                      0,                0.79438,                0.74495,                0.79683,                0.53859,                0.81714,                0.75133,                0.80623,                0.48447,               0.023911,                0.02098,              0.0066163,                      0,              0.0008185,              0.0008185,              0.0008185
                     57,                0.02482,               0.025925,              0.0084456,                      0,                0.79818,                0.73132,                0.79242,                0.53591,                0.80553,                 0.7407,                0.79707,                0.48634,               0.023809,               0.020921,              0.0067298,                      0,              0.0008152,              0.0008152,              0.0008152
                     58,               0.025121,               0.025938,              0.0083944,                      0,                0.80041,                0.73302,                0.80396,                0.54536,                0.82195,                 0.7506,                0.81504,                0.49806,               0.023277,               0.020938,              0.0066004,                      0,              0.0008119,              0.0008119,              0.0008119
                     59,               0.024347,               0.025245,              0.0081809,                      0,                0.80592,                 0.7237,                 0.7917,                0.54259,                0.82487,                0.73578,                0.80529,                0.49459,               0.023263,               0.020774,              0.0065638,                      0,              0.0008086,              0.0008086,              0.0008086
                     60,               0.024177,               0.025281,              0.0080596,                      0,                0.81399,                 0.7301,                0.81352,                0.54829,                0.83761,                0.74708,                0.82483,                0.50034,               0.023179,               0.021045,              0.0064807,                      0,              0.0008053,              0.0008053,              0.0008053
                     61,               0.024628,               0.025348,               0.008291,                      0,                0.79038,                 0.7407,                0.80415,                0.54818,                0.81557,                0.75452,                0.81661,                0.49351,               0.023074,               0.020923,              0.0065967,                      0,               0.000802,               0.000802,               0.000802
                     62,               0.024481,               0.025432,              0.0082327,                      0,                0.79484,                0.73858,                0.79718,                0.54951,                0.81861,                0.75983,                0.81647,                0.49875,               0.023416,               0.020305,               0.006576,                      0,              0.0007987,              0.0007987,              0.0007987
                     63,               0.024836,               0.025813,              0.0081919,                      0,                0.78214,                 0.7516,                0.80227,                0.54999,                0.81234,                0.74522,                0.81153,                0.49313,               0.023253,               0.020808,              0.0065714,                      0,              0.0007954,              0.0007954,              0.0007954
                     64,               0.024742,               0.026034,              0.0083083,                      0,                0.81944,                 0.7237,                0.80828,                0.54996,                0.83528,                0.74283,                 0.8233,                0.49837,               0.022984,               0.020777,              0.0066343,                      0,              0.0007921,              0.0007921,              0.0007921
                     65,               0.024256,               0.025601,              0.0082021,                      0,                0.83671,                0.70247,                0.80782,                0.55877,                 0.8595,                 0.7216,                0.81997,                  0.502,               0.022548,               0.020721,              0.0066016,                      0,              0.0007888,              0.0007888,              0.0007888
                     66,               0.025037,               0.025562,              0.0081492,                      0,                0.81035,                 0.7322,                0.80431,                0.55457,                0.83562,                0.73326,                0.81869,                0.50306,               0.022432,               0.020857,              0.0066013,                      0,              0.0007855,              0.0007855,              0.0007855
                     67,               0.024414,               0.025429,              0.0081912,                      0,                0.82498,                0.72476,                0.81007,                0.55797,                0.84796,                0.74495,                0.82733,                0.50522,               0.022233,                0.02065,              0.0065262,                      0,              0.0007822,              0.0007822,              0.0007822
                     68,               0.024321,               0.025658,              0.0082655,                      0,                0.82929,                0.71626,                0.80711,                0.55649,                0.83399,                0.73142,                0.81711,                0.49946,               0.022683,               0.020691,              0.0066787,                      0,              0.0007789,              0.0007789,              0.0007789
                     69,               0.024122,               0.025209,              0.0080597,                      0,                 0.8314,                0.70743,                0.81626,                0.56348,                 0.8156,                0.74733,                 0.8245,                0.50402,               0.022168,               0.020775,              0.0064373,                      0,              0.0007756,              0.0007756,              0.0007756
                     70,                0.02378,               0.025455,              0.0080879,                      0,                0.83243,                0.72051,                0.81858,                0.56754,                0.82402,                 0.7492,                0.82905,                0.50689,                0.02224,                0.02016,              0.0064743,                      0,              0.0007723,              0.0007723,              0.0007723
                     71,               0.023605,               0.025627,              0.0080175,                      0,                0.80558,                0.72656,                0.81334,                0.55667,                0.82063,                  0.739,                 0.8224,                0.50101,               0.022265,               0.020251,              0.0065822,                      0,               0.000769,               0.000769,               0.000769
                     72,               0.024354,               0.025071,              0.0080511,                      0,                0.81917,                0.71095,                0.80362,                0.54955,                0.83753,                0.72689,                0.81055,                0.49598,                0.02273,               0.020746,              0.0065934,                      0,              0.0007657,              0.0007657,              0.0007657
                     73,                0.02409,               0.025623,              0.0079431,                      0,                 0.7823,                0.74601,                0.80258,                0.55502,                0.81397,                 0.7393,                0.81446,                0.49706,               0.022546,               0.020806,               0.006543,                      0,              0.0007624,              0.0007624,              0.0007624
                     74,               0.024006,               0.025114,               0.008016,                      0,                0.81063,                0.74708,                0.81056,                0.55741,                0.82974,                0.74575,                0.82175,                 0.5053,               0.022772,               0.020874,              0.0065444,                      0,              0.0007591,              0.0007591,              0.0007591
                     75,               0.024175,                0.02513,              0.0079959,                      0,                0.82391,                0.73591,                 0.8115,                0.56262,                0.84013,                0.74273,                0.81947,                0.50346,               0.022232,               0.021154,              0.0066736,                      0,              0.0007558,              0.0007558,              0.0007558
                     76,               0.023821,                0.02512,              0.0079693,                      0,                0.82777,                0.73326,                0.81409,                 0.5691,                0.84669,                0.75126,                0.82584,                0.50707,               0.022082,               0.020912,              0.0065429,                      0,              0.0007525,              0.0007525,              0.0007525
                     77,               0.023588,               0.024886,              0.0078189,                      0,                0.80422,                 0.7407,                0.81445,                0.56366,                0.84255,                0.72901,                0.81989,                0.50183,               0.022235,               0.020764,              0.0065126,                      0,              0.0007492,              0.0007492,              0.0007492
                     78,               0.024027,               0.025443,              0.0078518,                      0,                0.83408,                0.72582,                0.81803,                0.55827,                0.84323,                0.73964,                0.82665,                0.49903,               0.022827,               0.020664,              0.0064615,                      0,              0.0007459,              0.0007459,              0.0007459
                     79,               0.023773,                0.02507,               0.008005,                      0,                0.83028,                0.73645,                 0.8187,                0.56847,                 0.8103,                0.75558,                0.82287,                0.50469,               0.022294,               0.020661,              0.0065074,                      0,              0.0007426,              0.0007426,              0.0007426
                     80,               0.023298,                0.02542,              0.0080163,                      0,                0.82538,                0.73326,                0.81913,                0.56843,                0.80954,                0.76786,                0.82735,                 0.5055,               0.021882,               0.020322,              0.0063856,                      0,              0.0007393,              0.0007393,              0.0007393
                     81,               0.023309,               0.024877,              0.0078984,                      0,                0.83864,                0.74601,                0.82691,                0.57209,                0.83882,                0.76324,                0.83258,                0.50941,               0.022243,               0.020776,              0.0064039,                      0,               0.000736,               0.000736,               0.000736
                     82,               0.023424,               0.025103,              0.0078677,                      0,                0.85567,                0.72795,                0.82493,                0.57306,                0.87154,                0.74176,                0.83539,                0.51164,               0.022135,               0.021101,              0.0063902,                      0,              0.0007327,              0.0007327,              0.0007327
                     83,               0.023822,               0.025455,              0.0081286,                      0,                0.83519,                0.73778,                0.81857,                0.57086,                0.83065,                 0.7506,                0.82639,                0.50833,                0.02172,               0.021152,              0.0065971,                      0,              0.0007294,              0.0007294,              0.0007294
                     84,               0.023116,               0.024948,              0.0077911,                      0,                0.77932,                 0.7731,                0.81761,                0.56911,                0.83821,                0.75027,                0.82737,                0.50893,               0.022032,               0.020791,              0.0064219,                      0,              0.0007261,              0.0007261,              0.0007261
                     85,               0.023445,               0.024989,              0.0079594,                      0,                 0.8235,                0.74708,                0.82102,                0.56881,                 0.8443,                0.74336,                0.82766,                0.50612,               0.021847,               0.020798,              0.0063947,                      0,              0.0007228,              0.0007228,              0.0007228
                     86,               0.023007,               0.024515,              0.0077929,                      0,                 0.8213,                0.75218,                0.82171,                0.57264,                0.83155,                0.75542,                 0.8288,                0.50741,               0.022042,               0.020764,              0.0063542,                      0,              0.0007195,              0.0007195,              0.0007195
                     87,               0.023087,               0.024896,                0.00785,                      0,                0.83221,                0.74389,                0.82299,                  0.575,                0.84816,                0.74708,                0.82819,                0.50873,               0.022076,               0.020695,              0.0062863,                      0,              0.0007162,              0.0007162,              0.0007162
                     88,               0.022865,               0.024762,              0.0078305,                      0,                0.81611,                0.75452,                0.82351,                0.57269,                0.82725,                0.75825,                0.82591,                  0.512,               0.022175,                0.02065,              0.0062524,                      0,              0.0007129,              0.0007129,              0.0007129
                     89,               0.022995,               0.024834,              0.0077066,                      0,                0.82125,                0.74212,                0.82301,                  0.571,                0.83396,                0.74193,                0.82639,                0.51038,               0.021731,               0.020837,              0.0062842,                      0,              0.0007096,              0.0007096,              0.0007096
                     90,               0.022976,               0.024794,              0.0077173,                      0,                0.78624,                0.75558,                0.81956,                0.57188,                0.83886,                0.73326,                0.82296,                 0.5076,               0.021795,               0.020904,              0.0063212,                      0,              0.0007063,              0.0007063,              0.0007063
                     91,               0.022979,               0.024774,              0.0077053,                      0,                0.77306,                0.76621,                0.81904,                0.57533,                0.82962,                0.74283,                0.82377,                0.50987,                0.02157,               0.020737,               0.006305,                      0,               0.000703,               0.000703,               0.000703
                     92,               0.022013,               0.024741,                 0.0076,                      0,                0.78929,                 0.7683,                0.82285,                0.57974,                0.79764,                0.76657,                0.82378,                 0.5138,               0.021293,                0.02039,              0.0062793,                      0,              0.0006997,              0.0006997,              0.0006997
                     93,               0.022913,               0.024747,              0.0078207,                      0,                0.80335,                0.76842,                0.82381,                0.57708,                0.81041,                0.76939,                0.82381,                0.51215,               0.021396,               0.020516,              0.0062784,                      0,              0.0006964,              0.0006964,              0.0006964
                     94,               0.022758,               0.024663,              0.0075618,                      0,                0.79829,                0.76543,                 0.8213,                0.57638,                0.80776,                0.77683,                0.82215,                0.51178,               0.021624,               0.020404,              0.0062874,                      0,              0.0006931,              0.0006931,              0.0006931
                     95,               0.022909,                0.02434,              0.0077249,                      0,                0.79117,                0.77302,                  0.821,                0.57512,                0.80432,                0.78625,                0.82503,                 0.5094,               0.021623,               0.020632,              0.0063141,                      0,              0.0006898,              0.0006898,              0.0006898
                     96,               0.022502,               0.024792,              0.0076049,                      0,                 0.8072,                0.77046,                0.82384,                0.57687,                0.81224,                0.77577,                0.82731,                 0.5098,               0.021645,               0.020584,              0.0063237,                      0,              0.0006865,              0.0006865,              0.0006865
                     97,               0.022461,               0.024547,              0.0075427,                      0,                0.80669,                0.76939,                0.82447,                0.57396,                0.81176,                0.77577,                0.82885,                0.51021,               0.021631,               0.020789,               0.006343,                      0,              0.0006832,              0.0006832,              0.0006832
                     98,               0.022429,               0.024337,              0.0076334,                      0,                0.80651,                0.76833,                0.82396,                0.57495,                0.81419,                0.77365,                0.82754,                0.50877,               0.021424,               0.020995,               0.006354,                      0,              0.0006799,              0.0006799,              0.0006799
                     99,               0.022481,               0.024444,              0.0074848,                      0,                0.79539,                0.77471,                0.82429,                 0.5737,                0.80839,                0.77365,                0.82715,                0.50707,               0.021402,               0.020885,              0.0064044,                      0,              0.0006766,              0.0006766,              0.0006766
                    100,               0.022252,               0.024408,              0.0075583,                      0,                0.79204,                0.76494,                  0.822,                0.57335,                0.80222,                0.77365,                0.82742,                0.50826,               0.021561,               0.020966,              0.0064089,                      0,              0.0006733,              0.0006733,              0.0006733
                    101,               0.022422,               0.024761,                0.00749,                      0,                0.80236,                0.75133,                0.82016,                0.57641,                0.83267,                0.75239,                0.82539,                0.50755,               0.021559,               0.020908,              0.0064131,                      0,                0.00067,                0.00067,                0.00067
                    102,               0.022312,                0.02416,               0.007541,                      0,                0.82572,                0.73964,                 0.8204,                0.57636,                0.83474,                0.74814,                0.82237,                0.50915,                0.02147,               0.020851,              0.0063776,                      0,              0.0006667,              0.0006667,              0.0006667
                    103,               0.022067,               0.024733,              0.0075426,                      0,                0.81757,                0.74495,                0.82636,                0.57724,                0.83004,                0.75133,                0.82625,                0.51106,               0.021643,               0.020891,              0.0063565,                      0,              0.0006634,              0.0006634,              0.0006634
                    104,               0.022238,               0.024642,              0.0075335,                      0,                0.84156,                0.72689,                0.82546,                0.57596,                0.81688,                0.76196,                0.82777,                0.50791,               0.021762,               0.020848,              0.0063949,                      0,              0.0006601,              0.0006601,              0.0006601
                    105,               0.022345,               0.024384,              0.0076241,                      0,                0.80749,                0.75776,                  0.821,                0.57411,                0.81885,                 0.7686,                 0.8242,                0.50636,               0.021763,               0.020787,              0.0064117,                      0,              0.0006568,              0.0006568,              0.0006568
                    106,                0.02177,               0.024278,              0.0073067,                      0,                0.81069,                0.76196,                0.82095,                0.57044,                0.82087,                0.77258,                0.82582,                0.50384,               0.021654,               0.020804,              0.0064263,                      0,              0.0006535,              0.0006535,              0.0006535
                    107,               0.021632,               0.023989,              0.0072057,                      0,                0.80552,                0.76586,                  0.819,                0.57421,                0.82252,                 0.7634,                0.82528,                0.50287,               0.021698,                0.02087,               0.006461,                      0,              0.0006502,              0.0006502,              0.0006502
                    108,               0.021982,               0.024462,              0.0073604,                      0,                0.81452,                0.75603,                0.82007,                 0.5724,                0.83209,                0.76621,                0.82869,                0.50408,               0.021783,               0.020859,              0.0064412,                      0,              0.0006469,              0.0006469,              0.0006469
                    109,               0.022034,                0.02446,              0.0074319,                      0,                0.80788,                0.77258,                0.82268,                0.57339,                0.83324,                0.75931,                0.82906,                0.50593,               0.021795,               0.020883,              0.0064276,                      0,              0.0006436,              0.0006436,              0.0006436
                    110,               0.021427,               0.024017,              0.0072238,                      0,                0.80709,                0.76916,                0.82363,                0.57486,                0.83099,                0.76286,                0.82886,                0.50749,                0.02178,                0.02093,              0.0064275,                      0,              0.0006403,              0.0006403,              0.0006403
                    111,               0.022244,               0.024473,              0.0073556,                      0,                0.81672,                0.76514,                0.82191,                0.57383,                 0.8275,                0.76977,                0.83123,                0.50692,               0.021727,               0.020934,              0.0064458,                      0,               0.000637,               0.000637,               0.000637
